id,word
1,mi
2,ti
3,chiel
4,"noi, nojàutri"
5,"voi, vojàutri"
6,"lor, loràutri"
7,"cost, ëst"
8,col
9,sì
10,"lì, là"
11,chi
12,"lòn, còs"
13,"andoa, anté"
14,quand
15,"com, cmé"
16,"nen, pa"
17,tut
18,"tant, vàire"
19,"quàich, chèich"
20,pòch
21,àutr
22,un
23,"doi (masculine), doe (feminine)"
24,tre
25,quatr
26,sinch
27,grand
28,longh
29,largh
30,tëgg
31,grev
32,cit
33,curt
34,strèit
35,fin
36,fomna
37,òm
38,përson-a
39,"cit, masnà"
40,fomna
41,òm
42,mare
43,pare
44,animal
45,pess
46,osel
47,can
48,poj
49,sërpent
50,"gianin, verm"
51,erbo
52,bòsch
53,baston
54,fruta
55,smens
56,feuja
57,rèis
58,scòrsa
59,fior
60,erba
61,"corda, soastr"
62,pel
63,carn
64,sangh
65,òss
66,grass
67,euv
68,"corna, còrn"
69,coa
70,piuma
71,cavèj
72,"testa, cò"
73,aurija
74,euj
75,nas
76,boca
77,dent
78,lenga
79,ongia
80,pe
81,gamba
82,gënoj
83,man
84,ala
85,pansa
86,boele
87,còl
88,schin-a
89,pet
90,cheur
91,fìdich
92,bèive
93,mangé
94,mòrde
95,ciucé
96,spuvé
97,gumité
98,bufé
99,arspiré
100,rije
101,"vëdde, vèje, voghe"
102,sente
103,savèj
104,pensé
105,snufié
106,tëmme
107,deurme
108,vive
109,meuire
110,"massè, gniché"
111,combate
112,cassé
113,bate
114,"tajé, copé"
115,spartì
116,stileté
117,sgrafigné
118,sgavé
119,noé
120,volé
121,"caminé, marcé"
122,vnì
123,cogesse
124,setesse
125,sté an pè
126,"viré, giré"
127,"tombè, caschè"
128,dé
129,ten-e
130,spërme
131,fërté
132,lavé
133,suvé
134,tiré
135,possé
136,"frandé, slansé"
137,"gropé, lijé"
138,cuse
139,conté
140,dì
141,canté
142,"giughé, giué"
143,floté
144,score
145,geilé
146,anfié
147,sol
148,lun-a
149,stèila
150,eva
151,pieuva
152,fium
153,lagh
154,mar
155,sal
156,pera
157,sabia
158,póer
159,mond
160,nìvola
161,nëbbia
162,cel
163,vent
164,fiòca
165,giassa
166,fum
167,feu
168,sënner
169,brusé
170,stra
171,montagna
172,ross
173,verd
174,giàun
175,bianch
176,nèir
177,neuit
178,dì
179,ann
180,càud
181,frèid
182,pien
183,neuv
184,vej
185,bon
186,gram
187,marsent
188,"anflà, salòp"
189,drit
190,riond
191,avuss
192,sirognà
193,seuli
194,"bagnà, mojà"
195,sech
196,giust
197,"aranda, davzin"
198,"lontan, leugn"
199,drita
200,"gàucia, snista"
201,a
202,"an, ant"
203,con
204,e
205,se
206,përchè
207,nòm